Date,HSI,000001
2012/9/11,19857.88086,2120.553955
2012/9/12,20075.39063,2126.553955
2012/9/13,20047.63086,2110.378906
2012/9/14,20629.7793,2123.846924
2012/9/17,20658.10938,2078.5
2012/9/18,20601.92969,2059.542969
2012/9/19,20841.91016,2067.831055
2012/9/20,20590.91992,2024.837036
2012/9/21,20734.93945,2026.689941
2012/9/24,20694.69922,2033.192017
2012/9/25,20698.67969,2029.292969
2012/9/26,20527.73047,2004.171997
2012/9/27,20762.28906,2056.322998
2012/9/28,20840.38086,2086.168945
2012/10/8,20824.56055,2074.418945
2012/10/9,20937.2793,2115.229004
2012/10/10,20919.59961,2119.941895
2012/10/11,20999.05078,2102.86792
2012/10/12,21136.42969,2104.931885
2012/10/15,21148.25,2098.702881
2012/10/16,21207.07031,2098.808105
2012/10/17,21416.64063,2105.61792
2012/10/18,21518.71094,2131.687988
2012/10/19,21551.75977,2128.302002
2012/10/22,21697.55078,2132.758057
2012/10/24,21763.7793,2115.98999
2012/10/25,21810.23047,2101.580078
2012/10/26,21545.57031,2066.208984
2012/10/29,21511.05078,2058.943115
2012/10/30,21428.58008,2062.346924
2012/10/31,21641.82031,2068.879883
2012/11/1,21821.86914,2104.427002
2012/11/2,22111.33008,2117.045898
2012/11/5,22006.40039,2114.0271
2012/11/6,21944.42969,2105.999023
2012/11/7,22099.84961,2105.72998
2012/11/8,21566.91016,2071.509033
2012/11/9,21384.38086,2069.066895
2012/11/12,21430.30078,2079.272949
2012/11/13,21188.65039,2047.889038
2012/11/14,21441.99023,2055.418945
2012/11/15,21108.92969,2030.290039
2012/11/16,21159.00977,2014.724976
2012/11/19,21262.06055,2016.982056
2012/11/20,21228.2793,2008.922974
2012/11/21,21524.35938,2030.31897
2012/11/22,21743.19922,2015.610962
2012/11/23,21913.98047,2027.384033
2012/11/26,21861.81055,2017.463989
2012/11/27,21844.0293,1991.165039
2012/11/28,21708.98047,1973.522949
2012/11/29,21922.89063,1963.488037
2012/11/30,22030.39063,1980.116943
2012/12/3,21767.84961,1959.766968
2012/12/4,21799.9707,1975.142944
2012/12/5,22270.91016,2031.906982
2012/12/6,22249.81055,2029.237061
2012/12/7,22191.16992,2061.785889
2012/12/10,22276.7207,2083.77002
2012/12/11,22323.93945,2074.704102
2012/12/12,22503.34961,2082.726074
2012/12/13,22445.58008,2061.476074
2012/12/14,22605.98047,2150.625
2012/12/17,22513.60938,2160.342041
2012/12/18,22494.73047,2162.464111
2012/12/19,22623.36914,2162.239014
2012/12/20,22659.7793,2168.353027
2012/12/21,22506.28906,2153.310059
2012/12/24,22541.17969,2159.052979
2012/12/27,22619.7793,2205.896973
2012/12/28,22666.58984,2233.251953
2012/12/31,22656.91992,2269.12793
2013/1/4,23331.08984,2276.991943
2013/1/7,23329.75,2285.364014
2013/1/8,23111.18945,2276.070068
2013/1/9,23218.4707,2275.340088
2013/1/10,23354.31055,2283.656982
2013/1/11,23264.07031,2242.99707
2013/1/14,23413.25977,2311.73999
2013/1/15,23381.50977,2325.681885
2013/1/16,23356.99023,2309.499023
2013/1/17,23339.75977,2284.908936
2013/1/18,23601.7793,2317.070068
2013/1/21,23590.91016,2328.220947
2013/1/22,23658.99023,2315.138916
2013/1/23,23635.09961,2320.910889
2013/1/24,23598.90039,2302.5979
2013/1/25,23580.42969,2291.303955
2013/1/28,23671.88086,2346.504883
2013/1/29,23655.16992,2358.977051
2013/1/30,23822.06055,2382.475098
2013/1/31,23729.5293,2385.422119
2013/2/1,23721.83984,2419.02002
2013/2/4,23685.00977,2428.154053
2013/2/5,23148.5293,2433.129883
2013/2/6,23256.92969,2434.477051
2013/2/7,23177,2418.530029
2013/2/8,23215.16016,2432.4021
2013/2/18,23381.93945,2421.558105
2013/2/19,23143.91016,2382.914063
2013/2/20,23307.41016,2397.177979
2013/2/21,22906.66992,2325.950928
